City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Srikakulam,IN,2020-10-25 16:07:28,18.3,83.9,78.46,81,23,5.1,few clouds
114,Pascagoula,US,2020-10-25 16:07:28,30.37,-88.56,66.2,88,90,8.05,overcast clouds
115,Inhambane,MZ,2020-10-25 16:07:29,-23.86,35.38,80.6,74,20,11.41,few clouds
116,Leira,ES,2020-10-25 16:07:29,43.12,-8.4,55.4,76,20,5.82,light rain
117,Atuona,PF,2020-10-25 16:07:29,-9.8,-139.03,78.55,73,13,19.71,few clouds
118,Belyy Yar,RU,2020-10-25 16:07:29,53.6,91.39,21.2,79,76,4.47,mist
119,Los Llanos De Aridane,ES,2020-10-25 16:07:29,28.66,-17.92,73.4,60,40,11.41,scattered clouds
120,Xiongzhou,CN,2020-10-25 16:07:29,25.12,114.3,65.1,62,72,0.92,broken clouds
121,Vestmannaeyjar,IS,2020-10-25 16:07:30,63.44,-20.27,44.6,52,75,11.41,broken clouds
122,Puerto Ayora,EC,2020-10-25 16:07:30,-0.74,-90.35,73.4,78,75,19.46,broken clouds
123,Hermanus,ZA,2020-10-25 16:07:30,-34.42,19.23,62.01,82,97,4.0,overcast clouds
124,Chitral,PK,2020-10-25 16:07:30,35.85,71.79,52.61,41,27,5.1,scattered clouds
125,Sovetskiy,RU,2020-10-25 16:07:30,61.36,63.58,26.4,98,84,2.28,broken clouds
126,Singkang,MY,2020-10-25 16:07:31,2.1,102.8,78.8,83,40,2.24,scattered clouds
127,Panzhihua,CN,2020-10-25 16:07:31,26.59,101.71,68.99,72,50,1.66,scattered clouds
128,Ponta Do Sol,PT,2020-10-25 16:04:44,32.67,-17.1,73.4,53,20,8.05,few clouds
129,Kapit,MY,2020-10-25 16:07:31,2.02,112.93,75.79,88,100,0.6,heavy intensity rain
130,Georgetown,MY,2020-10-25 16:04:34,5.41,100.34,78.8,94,40,4.97,heavy intensity rain
131,Cabo San Lucas,MX,2020-10-25 16:07:31,22.89,-109.91,84.99,54,20,17.22,few clouds
132,Puerto Escondido,MX,2020-10-25 16:05:35,15.85,-97.07,80.6,78,20,6.93,few clouds
133,Ilulissat,GL,2020-10-25 16:07:32,69.22,-51.1,17.6,52,23,1.12,few clouds
134,Gizo,SB,2020-10-25 16:07:32,-8.1,156.84,81.01,75,98,1.14,overcast clouds
135,Naze,JP,2020-10-25 16:07:32,28.37,129.48,64.4,82,75,3.36,broken clouds
136,Sao Joao Da Barra,BR,2020-10-25 16:07:32,-21.64,-41.05,69.8,94,90,16.11,overcast clouds
137,Chokurdakh,RU,2020-10-25 16:07:32,70.63,147.92,8.01,94,3,11.25,clear sky
138,Yellowknife,CA,2020-10-25 16:05:57,62.46,-114.35,26.01,92,75,4.7,light snow
139,Qaanaaq,GL,2020-10-25 16:07:32,77.48,-69.36,14.09,82,65,14.16,broken clouds
140,Xichang,CN,2020-10-25 16:07:33,27.9,102.26,61.74,77,40,0.87,scattered clouds
141,Hualmay,PE,2020-10-25 16:07:33,-11.1,-77.61,69.04,67,11,11.18,few clouds
142,Maun,BW,2020-10-25 16:07:33,-19.98,23.42,98.6,18,40,11.41,scattered clouds
143,Nanortalik,GL,2020-10-25 16:07:33,60.14,-45.24,35.17,87,100,22.64,light rain
144,Dikson,RU,2020-10-25 16:07:33,73.51,80.55,18.25,97,95,11.5,overcast clouds
145,Sayyan,YE,2020-10-25 16:07:33,15.17,44.32,59.54,27,0,7.25,clear sky
146,Tigre,AR,2020-10-25 16:03:59,-34.43,-58.58,69.01,100,90,6.93,moderate rain
147,Rovenki,UA,2020-10-25 16:07:34,48.08,39.38,50.29,84,45,6.76,scattered clouds
148,Namibe,AO,2020-10-25 16:07:34,-15.2,12.15,75.2,36,20,23.04,few clouds
149,Vostok,RU,2020-10-25 16:07:34,46.49,135.88,31.17,100,98,3.02,overcast clouds
150,Shingu,JP,2020-10-25 16:07:34,33.73,135.98,51.13,66,49,6.78,scattered clouds
151,Kushmurun,KZ,2020-10-25 16:07:34,52.45,64.63,47.93,89,100,10.69,overcast clouds
152,Carnarvon,AU,2020-10-25 16:07:34,-24.87,113.63,69.8,88,90,17.22,overcast clouds
153,Faanui,PF,2020-10-25 16:07:35,-16.48,-151.75,79.56,69,35,0.92,scattered clouds
154,Riberalta,BO,2020-10-25 16:07:35,-10.98,-66.1,89.6,59,75,16.11,shower rain
155,Arlit,NE,2020-10-25 16:07:35,18.74,7.39,92.79,10,0,7.43,clear sky
156,Cidreira,BR,2020-10-25 16:07:35,-30.18,-50.21,72.52,79,52,20.2,broken clouds
157,Luanda,AO,2020-10-25 16:03:36,-8.84,13.23,82.4,74,75,9.17,broken clouds
158,Rundu,NA,2020-10-25 16:07:36,-17.93,19.77,97.92,10,47,7.56,scattered clouds
159,Airai,TL,2020-10-25 16:07:36,-8.93,125.41,62.56,100,100,1.34,overcast clouds
160,Saskylakh,RU,2020-10-25 16:07:36,71.92,114.08,9.73,94,100,13.87,overcast clouds
161,Bethel,US,2020-10-25 16:07:36,41.37,-73.41,48.0,51,1,11.41,clear sky
162,Maumere,ID,2020-10-25 16:07:36,-8.62,122.21,80.78,78,100,7.87,overcast clouds
163,Russell,US,2020-10-25 16:07:36,32.35,-85.2,73.4,78,90,3.36,overcast clouds
164,Beloha,MG,2020-10-25 16:07:36,-25.17,45.05,75.4,52,50,4.16,scattered clouds
165,Chuy,UY,2020-10-25 16:07:37,-33.7,-53.46,73.42,75,100,12.57,overcast clouds
166,San Carlos De Bariloche,AR,2020-10-25 16:07:37,-41.15,-71.31,48.2,42,40,26.4,scattered clouds
167,Ayan,RU,2020-10-25 16:07:37,56.45,138.17,28.4,89,0,20.36,clear sky
168,Saint Anthony,US,2020-10-25 16:02:50,45.02,-93.22,28.99,79,90,5.82,overcast clouds
169,Port Blair,IN,2020-10-25 16:04:38,11.67,92.75,79.93,82,60,8.61,moderate rain
170,Waipawa,NZ,2020-10-25 16:07:37,-41.41,175.52,60.8,87,19,20.8,few clouds
171,Moose Factory,CA,2020-10-25 16:07:37,51.26,-80.61,24.8,85,90,8.05,overcast clouds
172,Shetpe,KZ,2020-10-25 16:07:38,44.17,52.12,57.6,92,100,12.91,overcast clouds
173,Katsuura,JP,2020-10-25 16:04:52,35.13,140.3,57.2,76,20,6.93,few clouds
174,Beihai,CN,2020-10-25 16:07:38,21.48,109.1,72.75,76,89,8.39,light rain
175,Kurilsk,RU,2020-10-25 16:07:38,45.23,147.88,48.36,76,93,15.55,light rain
176,Dourbali,TD,2020-10-25 16:07:38,11.81,15.86,93.74,15,27,9.1,scattered clouds
177,Manggar,ID,2020-10-25 16:07:38,-2.88,108.27,80.73,82,100,5.08,overcast clouds
178,Independence,US,2020-10-25 16:03:26,39.09,-94.42,39.0,93,90,8.05,mist
179,Margate,GB,2020-10-25 16:07:38,51.38,1.39,53.01,79,31,4.0,light rain
180,Khorixas,NA,2020-10-25 16:07:39,-20.37,14.97,93.97,15,79,21.25,broken clouds
181,Vardo,NO,2020-10-25 16:07:39,70.37,31.11,37.4,69,75,11.41,broken clouds
182,Ibate,BR,2020-10-25 16:07:39,-21.95,-48.0,77.43,71,55,5.53,moderate rain
183,Udachnyy,RU,2020-10-25 16:07:39,66.42,112.4,-6.38,85,0,2.35,clear sky
184,Caledonia,US,2020-10-25 16:07:39,42.81,-87.92,42.01,69,90,9.17,overcast clouds
185,Lisakovsk,KZ,2020-10-25 16:07:39,52.54,62.49,48.42,87,100,7.02,light rain
186,Witu,KE,2020-10-25 16:07:40,-2.39,40.44,82.4,69,20,10.29,few clouds
187,Sitka,US,2020-10-25 16:07:40,57.05,-135.33,42.8,52,90,10.29,overcast clouds
188,Kaitangata,NZ,2020-10-25 16:07:40,-46.28,169.85,46.99,97,100,8.01,light rain
189,At-Bashi,KG,2020-10-25 16:06:07,41.17,75.81,35.33,76,81,2.75,broken clouds
190,Teluknaga,ID,2020-10-25 16:07:40,-6.1,106.64,81.0,88,20,6.93,light rain
191,Hasaki,JP,2020-10-25 16:07:40,35.73,140.83,50.0,87,20,4.7,few clouds
192,Ajaccio,FR,2020-10-25 16:07:41,42.0,8.92,68.0,72,20,5.82,few clouds
193,Pevek,RU,2020-10-25 16:07:41,69.7,170.31,26.13,96,99,5.32,overcast clouds
194,Mathathane,BW,2020-10-25 16:05:02,-22.27,28.75,91.4,15,0,12.82,clear sky
195,Totness,SR,2020-10-25 16:05:33,5.88,-56.32,88.3,61,28,11.9,scattered clouds
196,Sabang,ID,2020-10-25 16:07:41,5.89,95.32,82.33,76,100,17.47,overcast clouds
197,Roshni-Chu,RU,2020-10-25 16:07:41,43.09,45.45,60.8,36,0,4.47,clear sky
198,Behat,IN,2020-10-25 16:07:41,30.17,77.62,68.0,72,0,4.68,haze
199,Dolores,AR,2020-10-25 16:07:42,-36.31,-57.68,66.99,95,100,8.59,light rain
200,Sechura,PE,2020-10-25 16:07:42,-5.56,-80.82,74.07,57,59,7.02,broken clouds
201,Hamilton,US,2020-10-25 16:07:42,39.18,-84.53,48.99,87,90,8.05,overcast clouds
202,Yulara,AU,2020-10-25 16:07:42,-25.24,130.99,66.2,29,5,10.29,clear sky
203,Kieta,PG,2020-10-25 16:07:42,-6.22,155.63,78.48,74,95,3.87,overcast clouds
204,Sorland,NO,2020-10-25 16:07:42,67.67,12.69,41.0,75,75,14.99,moderate rain
205,Zverevo,RU,2020-10-25 16:07:43,48.02,40.12,59.0,67,20,8.95,few clouds
206,Berck,FR,2020-10-25 16:07:43,50.4,1.6,53.6,87,51,6.93,light rain
207,Vila Velha,BR,2020-10-25 16:07:43,-20.33,-40.29,77.0,88,75,4.7,moderate rain
208,Hofn,IS,2020-10-25 16:05:39,64.25,-15.21,46.4,70,90,12.75,shower rain
209,Fayetteville,US,2020-10-25 16:04:25,35.05,-78.88,66.99,100,90,5.82,overcast clouds
210,Tikhvin,RU,2020-10-25 16:07:43,59.65,33.53,36.19,94,57,1.88,broken clouds
211,Sur,OM,2020-10-25 16:07:44,22.57,59.53,75.96,52,0,7.09,clear sky
212,Enshi,CN,2020-10-25 16:07:44,30.3,109.48,59.22,62,100,0.72,overcast clouds
213,Mujiayingzi,CN,2020-10-25 16:07:44,42.12,118.78,45.84,53,13,1.79,few clouds
214,Trelew,AR,2020-10-25 16:07:44,-43.25,-65.31,68.49,23,0,23.94,clear sky
215,Broken Hill,AU,2020-10-25 16:07:44,-31.95,141.43,44.6,75,1,5.82,clear sky
216,Luau,AO,2020-10-25 16:07:45,-10.71,22.22,81.25,50,34,4.27,scattered clouds
217,Mancio Lima,BR,2020-10-25 16:07:45,-7.61,-72.9,97.43,36,16,4.47,few clouds
218,Sharan,RU,2020-10-25 16:07:45,54.82,54.0,43.5,87,100,6.4,light rain
219,General Pico,AR,2020-10-25 16:07:45,-35.66,-63.76,69.13,40,100,18.5,overcast clouds
220,Roald,NO,2020-10-25 16:07:45,62.58,6.13,50.0,61,40,8.05,scattered clouds
221,Bonnyville,CA,2020-10-25 16:07:45,54.27,-110.73,17.6,67,75,8.05,broken clouds
222,Fairbanks,US,2020-10-25 16:03:38,64.84,-147.72,28.0,85,90,2.08,overcast clouds
223,Kupang,ID,2020-10-25 16:07:46,-10.17,123.58,80.64,80,70,6.8,broken clouds
224,Usinsk,RU,2020-10-25 16:07:46,65.99,57.53,22.98,98,100,6.24,light snow
225,George,ZA,2020-10-25 16:05:10,-33.96,22.46,62.6,82,75,4.7,broken clouds
226,Talnakh,RU,2020-10-25 16:07:46,69.49,88.4,10.4,85,75,11.18,light snow
227,Coquimbo,CL,2020-10-25 16:07:46,-29.95,-71.34,64.4,59,0,12.75,clear sky
228,Chapais,CA,2020-10-25 16:07:46,49.78,-74.85,26.6,86,90,10.29,light snow
229,Shahreza,IR,2020-10-25 16:07:46,32.03,51.88,50.2,43,0,3.87,clear sky
230,Boden,SE,2020-10-25 16:07:47,65.83,21.69,35.6,93,75,8.05,broken clouds
231,Namatanai,PG,2020-10-25 16:07:47,-3.67,152.43,78.12,85,100,3.56,overcast clouds
232,Maputo,MZ,2020-10-25 16:07:47,-25.97,32.59,84.2,58,0,14.99,clear sky
233,Grindavik,IS,2020-10-25 16:07:47,63.84,-22.43,42.8,81,75,16.11,broken clouds
234,Lahat,ID,2020-10-25 16:07:47,-3.8,103.53,73.15,89,100,2.19,overcast clouds
235,Languyan,PH,2020-10-25 16:07:47,5.26,120.08,77.79,87,100,1.41,moderate rain
236,Tutoia,BR,2020-10-25 16:07:47,-2.76,-42.27,87.17,59,48,14.85,scattered clouds
237,Humaita,BR,2020-10-25 16:06:00,-7.51,-63.02,84.52,66,100,4.03,overcast clouds
238,Timbo,BR,2020-10-25 16:07:48,-26.82,-49.27,86.0,54,79,1.01,broken clouds
239,Lubango,AO,2020-10-25 16:07:48,-14.92,13.49,86.0,36,40,18.34,scattered clouds
240,Ahipara,NZ,2020-10-25 16:07:48,-35.17,173.17,56.01,92,10,4.09,clear sky
241,Fortuna,US,2020-10-25 16:07:48,40.6,-124.16,48.0,100,90,4.7,overcast clouds
242,Codrington,AU,2020-10-25 16:07:49,-38.27,141.97,48.42,70,0,14.2,clear sky
243,Vanimo,PG,2020-10-25 16:07:49,-2.67,141.3,80.11,77,100,2.98,light rain
244,Ternate,ID,2020-10-25 16:07:49,0.8,127.4,81.46,74,83,2.98,broken clouds
245,Karakol,KG,2020-10-25 16:07:49,42.49,78.39,37.76,66,87,2.68,overcast clouds
246,Envira,BR,2020-10-25 16:07:49,-7.3,-70.22,97.61,37,55,4.18,broken clouds
247,Catuday,PH,2020-10-25 16:07:49,16.29,119.81,80.98,85,100,6.82,moderate rain
248,Korem,ET,2020-10-25 16:07:49,12.51,39.52,60.03,43,0,7.11,clear sky
249,Douentza,ML,2020-10-25 16:07:50,15.0,-2.95,98.4,8,0,11.86,clear sky
250,Kavaratti,IN,2020-10-25 16:07:50,10.57,72.64,82.27,73,43,6.67,scattered clouds
251,Vanderhoof,CA,2020-10-25 16:04:08,54.02,-124.02,17.51,91,100,1.41,overcast clouds
252,Acri,IT,2020-10-25 16:07:50,39.49,16.38,63.0,80,20,1.01,few clouds
253,Ostrovnoy,RU,2020-10-25 16:07:50,68.05,39.51,29.44,92,67,11.1,broken clouds
254,Biak,ID,2020-10-25 16:07:50,-0.91,122.88,78.01,75,27,3.71,scattered clouds
255,Cayenne,GF,2020-10-25 16:07:50,4.93,-52.33,89.6,59,75,10.29,broken clouds
256,Poya,NC,2020-10-25 16:07:51,-21.35,165.15,71.92,82,3,5.97,clear sky
257,Hobyo,SO,2020-10-25 16:07:51,5.35,48.53,81.14,77,25,11.21,scattered clouds
258,Sobolevo,RU,2020-10-25 16:07:51,54.43,31.9,47.53,82,100,4.68,overcast clouds
259,Bambous Virieux,MU,2020-10-25 16:07:51,-20.34,57.76,75.2,73,75,11.41,shower rain
260,Sao Jose Da Coroa Grande,BR,2020-10-25 16:07:51,-8.9,-35.15,82.29,72,89,13.96,overcast clouds
261,Samarai,PG,2020-10-25 16:07:51,-10.62,150.67,79.66,84,53,1.95,light rain
262,Puerto Madero,MX,2020-10-25 16:07:52,14.72,-92.42,82.4,88,40,3.36,scattered clouds
263,Severo-Yeniseyskiy,RU,2020-10-25 16:07:52,60.37,93.04,14.65,98,98,4.18,overcast clouds
264,Pitsunda,GE,2020-10-25 16:07:52,43.16,40.34,66.0,72,52,4.47,broken clouds
265,Kruisfontein,ZA,2020-10-25 16:07:52,-34.0,24.73,69.01,68,64,4.0,broken clouds
266,Taozhuang,CN,2020-10-25 16:07:52,34.85,117.33,57.83,57,68,1.83,broken clouds
267,Hervey Bay,AU,2020-10-25 16:05:23,-25.3,152.85,73.99,91,25,4.0,scattered clouds
268,Vila Franca Do Campo,PT,2020-10-25 16:07:52,37.72,-25.43,68.0,64,40,12.75,shower rain
269,Goderich,CA,2020-10-25 16:07:53,43.75,-81.72,43.0,74,95,5.17,overcast clouds
270,Hereford,GB,2020-10-25 16:07:53,52.06,-2.71,48.0,93,84,10.49,moderate rain
271,Krasnovishersk,RU,2020-10-25 16:07:53,60.41,57.08,27.18,97,100,4.41,overcast clouds
272,Thap Than,TH,2020-10-25 16:07:53,15.46,99.89,75.36,85,92,3.42,light rain
273,Anchorage,US,2020-10-25 16:07:53,61.22,-149.9,37.0,74,90,6.93,moderate rain
